156609	bohol_ts_3	0	0	0	0	0	8803	0	0	0	0	0	0	0	0	0	0	0	0	0	829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156654	mab_tg_1	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156607	bohol_ts_1	18196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	84223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156596	bohol_hh_2	19201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156621	cal_m_ts_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156617	cal_m_tn_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156653	camiguin_ts_4	0	1843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156666	mas_ts_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156696	sem_tn_4	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156591	bau_tn_2	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156665	mas_tm_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28811	0	37760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156683	sem_tc_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156578	apo_sa_tc_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156599	bohol_tc_4	0	0	0	432	0	0	0	0	0	0	0	0	0	0	0	90314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156615	cal_m_tm_4	0	0	0	0	0	0	0	479	0	0	0	0	0	0	0	67757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156727	samar_tm_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156564	apo_a_tc_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156567	apo_a_tm_1	0	0	0	644	0	0	0	0	0	0	0	0	0	0	0	139045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156702	sem_tm_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156684	sem_tc_8	0	0	0	5399	0	0	0	0	0	0	0	0	0	0	0	67923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156579	apo_sa_tc_4	0	0	0	5399	0	0	0	0	0	0	0	0	0	0	0	67923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156699	sem_ts_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156594	bau_ts_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156700	sem_tm_7	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	55652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156697	sem_ts_2	0	0	0	0	0	0	0	0	0	0	405	0	0	0	0	64122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156593	bau_ts_2	0	0	0	0	0	0	0	0	0	0	405	0	0	0	0	64122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156698	sem_ts_4	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	51639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156588	bau_tm_2	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	51639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156701	sem_tm_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156583	apo_sa_tm_5	0	0	0	0	0	0	0	0	0	0	0	0	22448	0	0	36255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156728	samar_tm_3	0	111790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156677	sem_hh_2	0	71901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156634	camiguin_hh_2	0	98569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	546	0	13305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156686	sem_td_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156657	mas_tc_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156561	ala_tc_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156676	sem_hh_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156745	tg_9yo_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156746	tg_9yo_2	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156679	sem_hp_1	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156681	sem_hp_4	0	1925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156736	tg_1yo_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156689	sem_tg_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156747	tg_9yo_3	0	0	1653	0	0	0	0	0	0	0	0	0	0	0	0	0	80893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156680	sem_hp_2	0	0	1653	0	0	0	0	0	0	0	0	0	0	0	0	0	80893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156678	sem_hh_4	0	7614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156738	tg_1yo_3	0	0	6053	0	0	0	0	0	0	0	0	0	0	0	0	0	74195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156688	sem_tg_10	0	0	6053	0	0	0	0	0	0	0	0	0	0	0	0	0	74195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156711	sil_ts_1	0	8116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0
156712	sil_ts_2	0	6885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156584	bau_tg_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156559	ala_tg_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156744	tg_3yo_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156662	mas_tg_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156742	tg_3yo_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156660	mas_tg_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156601	bohol_tg_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156737	tg_1yo_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156690	sem_tg_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156585	bau_tg_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156743	tg_3yo_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156661	mas_tg_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156733	tg_14yo_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156703	sil_tg_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156618	cal_m_tn_3	4792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156619	cal_m_ts_3	0	0	0	0	0	6838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156631	cal_s_tn_4	2131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156626	cal_p_ts_2	1212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156612	cal_c_tn_3	6938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156632	cal_s_tn_5	3732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156620	cal_m_ts_4	0	0	0	0	0	7437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156630	cal_s_tn_1	6762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	58582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156635	camiguin_hh_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156732	samar_ts_5	21088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156616	cal_m_tn_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156649	camiguin_tm_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156613	cal_m_tm_2	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	65226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156650	camiguin_tm_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156648	camiguin_tm_1	0	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
